wmproductId,productId,product name,region,type,cost price (NT),selling price (NT),original product name,leSIM,,,,,,,,,,,
WM-e-BICS-10GB-3D,LeSIM-11200003,"BICS Europe, 3 Days, 10GB /day, 128kbps",Europe,eSIM,230,,"BICS Europe, 3 Days, 10GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-1GB-3D,LeSIM-11140003,"BICS Europe, 3 Days, 1GB /day, 128kbps",Europe,eSIM,79,,"BICS Europe, 3 Days, 1GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-T20-3D,LeSIM-11180003,"BICS Europe, 3 Days, 20GB, 128kbps",Europe,eSIM,516,,"BICS Europe, 3 Days, 20GB, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-2GB-3D,LeSIM-11150003,"BICS Europe, 3 Days, 2GB /day, 128kbps",Europe,eSIM,138,,"BICS Europe, 3 Days, 2GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-3GB-3D,LeSIM-11160003,"BICS Europe, 3 Days, 3GB /day, 128kbps",Europe,eSIM,180,,"BICS Europe, 3 Days, 3GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-T5-3D,LeSIM-11190003,"BICS Europe, 3 Days, 5GB, 128kbps",Europe,eSIM,166,,"BICS Europe, 3 Days, 5GB, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-T10-30D,LeSIM-11170030,"BICS Europe, 30 Days, 10GB, 128kbps",Europe,eSIM,327,,"BICS Europe, 30 Days, 10GB, 128kbps",Y,,,,,,,,,,,
WM-e-BICS-10GB-30D,LeSIM-11200030,"BICS Europe, 30 Days, 10GB /day, 128kbps",Europe,eSIM,2190,,"BICS Europe, 30 Days, 10GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-1GB-30D,LeSIM-11140030,"BICS Europe, 30 Days, 1GB /day, 128kbps",Europe,eSIM,663,,"BICS Europe, 30 Days, 1GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-T20-30D,LeSIM-11180030,"BICS Europe, 30 Days, 20GB, 128kbps",Europe,eSIM,608,,"BICS Europe, 30 Days, 20GB, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-2GB-30D,LeSIM-11150030,"BICS Europe, 30 Days, 2GB /day, 128kbps",Europe,eSIM,1256,,"BICS Europe, 30 Days, 2GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-3GB-30D,LeSIM-11160030,"BICS Europe, 30 Days, 3GB /day, 128kbps",Europe,eSIM,1684,,"BICS Europe, 30 Days, 3GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-T5-30D,LeSIM-11190030,"BICS Europe, 30 Days, 5GB, 128kbps",Europe,eSIM,212,,"BICS Europe, 30 Days, 5GB, 128kbps",Y,,,,,,,,,,,
WM-e-BICS-10GB-4D,LeSIM-11200004,"BICS Europe, 4 Days, 10GB /day, 128kbps",Europe,eSIM,360,,"BICS Europe, 4 Days, 10GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-1GB-4D,LeSIM-11140004,"BICS Europe, 4 Days, 1GB /day, 128kbps",Europe,eSIM,116,,"BICS Europe, 4 Days, 1GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-2GB-4D,LeSIM-11150004,"BICS Europe, 4 Days, 2GB /day, 128kbps",Europe,eSIM,212,,"BICS Europe, 4 Days, 2GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-3GB-4D,LeSIM-11160004,"BICS Europe, 4 Days, 3GB /day, 128kbps",Europe,eSIM,286,,"BICS Europe, 4 Days, 3GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-T10-5D,LeSIM-11170005,"BICS Europe, 5 Days, 10GB, 128kbps",Europe,eSIM,272,,"BICS Europe, 5 Days, 10GB, 128kbps",Y,,,,,,,,,,,
WM-e-BICS-10GB-5D,LeSIM-11200005,"BICS Europe, 5 Days, 10GB /day, 128kbps",Europe,eSIM,378,,"BICS Europe, 5 Days, 10GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-1GB-5D,LeSIM-11140005,"BICS Europe, 5 Days, 1GB /day, 128kbps",Europe,eSIM,125,,"BICS Europe, 5 Days, 1GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-T20-5D,LeSIM-11180005,"BICS Europe, 5 Days, 20GB, 128kbps",Europe,eSIM,534,,"BICS Europe, 5 Days, 20GB, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-2GB-5D,LeSIM-11150005,"BICS Europe, 5 Days, 2GB /day, 128kbps",Europe,eSIM,221,,"BICS Europe, 5 Days, 2GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-3GB-5D,LeSIM-11160005,"BICS Europe, 5 Days, 3GB /day, 128kbps",Europe,eSIM,295,,"BICS Europe, 5 Days, 3GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-T5-5D,LeSIM-11190005,"BICS Europe, 5 Days, 5GB, 128kbps",Europe,eSIM,175,,"BICS Europe, 5 Days, 5GB, 128kbps",Y,,,,,,,,,,,
WM-e-BICS-10GB-6D,LeSIM-11200006,"BICS Europe, 6 Days, 10GB /day, 128kbps",Europe,eSIM,497,,"BICS Europe, 6 Days, 10GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-1GB-6D,LeSIM-11140006,"BICS Europe, 6 Days, 1GB /day, 128kbps",Europe,eSIM,159,,"BICS Europe, 6 Days, 1GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-2GB-6D,LeSIM-11150006,"BICS Europe, 6 Days, 2GB /day, 128kbps",Europe,eSIM,296,,"BICS Europe, 6 Days, 2GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-3GB-6D,LeSIM-11160006,"BICS Europe, 6 Days, 3GB /day, 128kbps",Europe,eSIM,391,,"BICS Europe, 6 Days, 3GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-T10-7D,LeSIM-11170007,"BICS Europe, 7 Days, 10GB, 128kbps",Europe,eSIM,286,,"BICS Europe, 7 Days, 10GB, 128kbps",Y,,,,,,,,,,,
